NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
03190,"BABYFOOD,CRL,OATMEAL,W/ BANANAS,DRY",4.7,399,6.67,6.67,3.9,78.07,5.2,26.66,800,45,118,267,600,33,1.9,0.391,,20.5,58.3,0.833,1,13,,0.66,167,132,35,259,28.7,3.33,0,0,0,0,0,0,0,157,5,0,0,3,1.267,1.429,2.186,0
03191,"BABYFOOD,CRL,OATMEAL,W/ APPLSAUC & BANANAS,STR",82.2,75,0.89,0.89,0.4,15.62,0.9,8.85,6,7.5,11,41,97,4,7.5,0.073,,3,13.9,0.111,0.133,1.77,0.227,0.089,22,22,0,38,4.1,0,0,0,0,0,0,0,0,90,0.59,0,0,2.2,0.125,0.216,0.253,0
03192,"BABYFOOD,CRL,OATMEAL,W/ APPLSAUC & BANANAS,JR,FORT",81.8,76,0.89,0.89,0.4,16.03,0.9,8.85,6,7.5,11,41,97,4,7.5,0.075,,3,13.9,0.111,0.133,1.77,0.227,0.089,22,22,0,38,4.1,0.44,0,0,0,0,0,0,0,17,0.59,0,0,0.6,0.126,0.216,0.253,0
03193,"BABYFOOD,CRL,OATMEAL,W/HONEY,DRY",5.8,391,13.5,7,4.4,69.3,,,1154,67.23,146,733,259,47,3.7,0.529,,36.4,0,2.771,2.842,36.292,1.54,0.154,35,0,35,35,,0,23,1,0,,,,,,,,,,,,,
03194,"BABYFOOD,CRL,RICE,DRY,FORT",5.13,390,6.65,2.19,2.89,83.14,1.3,4.85,860,53.01,37,273,281,32,10.92,0.231,1.402,5,2.4,1.195,1.459,23.006,1.601,0.885,230,206,24,375,20.9,4.6,0,0,0,0,0,0,0,0,5,8.5,341,0.5,0.234,0.42,0.784,0
03195,"BABYFOOD,CRL,RICE,W/ APPLSAUC & BANANAS,STR",81,80,1.2,0.4,0.3,17.1,1,2.24,17,6.73,3,12,28,4,0.08,0.051,,2.1,31.6,0.26,0.422,4.017,,0.234,3,0,3,3,1.9,0,21,1,0,0,9,7,0,4,0.04,0,0,0.2,0.114,0.104,0.102,0
03197,"BABYFOOD,CRL,W/EGG YOLKS,STR",88.8,51,1.9,1.8,0.5,7,0.9,,24,0.47,3,40,39,33,0.29,0.022,,,0.7,0.009,0.044,0.049,0.878,0.021,3,0,3,3,,0.07,141,40,39,,,,,,,,,,0.61,0.79,0.3,63
03198,"BABYFOOD,CRL,W/EGG YOLKS,JR",88.7,52,1.9,1.8,0.4,7.1,0.9,,24,0.51,3,40,35,33,0.29,0.022,,,0.7,0.008,0.045,0.048,0.878,0.02,3,0,3,3,,0.06,144,41,40,,,,,,,,,,0.61,0.79,0.3,63
03199,"BABYFOOD,CRL,W/EGGS,STR",87.2,58,2.2,1.5,0.6,8,,,27,0.54,3,46,44,38,0.33,0.025,,,0.8,0.01,0.05,0.056,1.003,0.024,9,0,9,9,,0.08,161,,,,,,,,,,,,0.49,0.61,0.33,51
03201,"BABYFOOD,CRL,EGG YOLKS&BACON,JR",85.9,79,2.5,5,0.4,6.2,0.9,,28,0.47,5,50,35,48,0.27,0.02,,,0.9,0.05,0.077,0.266,1.105,0.026,4,0,4,4,,0.09,94,28,28,,,,,,,,,,1.64,2.207,0.641,94
03205,"BABYFOOD,OATMEAL CRL W/ FRUIT,DRY,INST,TODD FORT",5.4,402,10.5,7.05,2.95,74.1,7.8,11.09,286,14.3,107,429,346,0,5.7,0.34,2.8,20.5,2.7,0.75,0.86,9.6,,0.38,234,199,35,374,31.6,0,89,4,0,12,41,13,0,32,2.48,0,0,7.5,1.572,3.008,2.29,0
03206,"BABYFOOD,COOKIE,BABY,FRUIT",5.7,435,6.8,12.6,1.2,73.7,3.4,24.2,83,2.9,30,189,425,9,0.8,0.04,0.22,20.5,1.5,0.44,0.42,3.6,0.389,0.21,110,82,28,167,12,0.22,2348,117,0,810,1002,2,0,175,1.48,0,0,3.2,2.7,4.865,4.334,4
03209,"BABYFOOD,CRACKERS,VEG",2,477,8.4,19.6,3.15,66.85,4,13,41,4.2,37,198,245,571,0.9,0.13,0.77,13.7,50.5,0.35,0.33,4.05,0.466,0.12,86,70,16,135,10.4,0,3571,179,0,739,1760,27,0,65,8.05,0,0,7.1,1.966,15.779,1.022,0
03211,"BABYFOOD,CRL,HI PROT,W/APPL&ORANGE,DRY",5.3,374,25.4,6.5,5.2,57.6,7.1,,751,47.5,159,539,1330,104,2.7,0.964,,28.3,3.1,3.79,4.33,23.83,,0.351,190,0,190,190,,0.3,54,3,0,,,,,,,,,,0.96,1.231,3.429,0
03212,"BABYFOOD,CRL,RICE,W/ BANANAS,DRY",4.7,404,8.7,4.2,2.5,79.9,1,16.7,691,47.5,141,410,769,0,1.5,0.254,,11.6,2,3.97,3.8,23.32,,0.686,12,0,12,12,25.8,0,29,1,0,11,12,0,0,39,0.37,0,0,3.8,0.978,0.986,1.503,0
03213,"BABYFOOD,COOKIES",5.9,433,11.8,13.2,2,67.1,0.2,24.2,101,4.18,49,179,501,300,1.1,0.074,0.348,17.2,7,1.459,3.229,15.966,0.529,5.899,93,74,19,145,28.3,0.46,23,6,6,0,1,0,0,9,0.46,0,0,1.1,2.352,5.99,2.878,12
03214,"BABYFOOD,COOKIES,ARROWROOT",5.6,424,7.6,10,1.4,75.4,0.2,,32,3,22,116,156,319,0.53,0.074,,17.2,5.5,0.499,0.429,5.739,0.531,0.04,35,25,10,53,,0.07,0,0,,,,,0,0,3.86,0,0,0.5,1.048,7.922,0.591,0
03215,"BABYFOOD,PRETZELS",4,397,10.8,2,1,82.2,2.3,3.08,25,3.77,28,110,137,269,0.78,0.145,,7.6,3.8,0.463,0.357,3.56,0.54,0.083,85,65,20,131,0,0,8,0,0,1,4,1,0,72,0.28,0,0,0.3,0.4,0.238,1.054,0
03216,"BABYFOOD,TEETHING BISCUITS",6.4,392,10.7,4.2,2.3,76.4,1.4,12.65,263,3.55,35,164,323,285,0.93,0.142,,23.5,9.1,0.233,0.537,4.33,0.526,0.111,49,29,20,69,33.8,0.07,116,28,27,6,13,0,0,169,1.1,0.5,21,0.5,1.206,1.702,0.998,7
03217,ZWIEBACK,4.5,426,10.1,9.7,1.5,74.2,2.5,12.5,20,0.6,14,55,305,227,0.54,0.145,,28.7,5.3,0.208,0.239,1.319,0.537,0.082,87,67,20,134,10.7,0,58,16,15,0,4,1,0,16,2.44,0,0,0.9,2.525,4.244,2.073,8
03220,"BABYFOOD,DSSRT,DUTCH APPL,STR",79.5,75,0.2,0.4,0.16,19.74,1.4,17.89,5,0.2,2,3,33,0,0.01,0.059,,0.2,21.4,0.011,0.013,0.048,,0.011,1,0,1,1,2.5,0,49,2,0,0,21,16,0,15,0.04,0,0,0.5,0.19,0.08,0.01,0
03221,"BABYFOOD,DSSRT,DUTCH APPL,JR",80.32,79,0.2,0.16,0.14,19.18,1.4,17.89,3,0.11,4,7,67,3,0.03,0.03,0.02,0.2,18,0.01,0.012,0.048,0.017,0.017,0,0,0,0,2.5,0,18,1,0,0,8,6,0,11,0.04,0,0,0.5,0.025,0.006,0.045,0
03222,"BABYFOOD,CHERRY COBBLER,JR",79.8,78,0.3,0.1,0.19,19.2,0.2,10.39,5,0.1,2,6,45,0,0.05,0.01,0.02,0.9,9.3,0.01,0.01,0.06,0.043,0.02,2,0,2,2,1.5,0,31,2,0,0,19,0,0,20,0.03,0,0,0.5,0.02,0.02,0.03,0
03224,"BABYFOOD,DSSRT,CHERRY VANILLA PUDD,STR",81.5,68,0.2,0.3,0.2,17.8,0.3,9.15,5,0.19,2,7,34,0,0.04,0.05,,0.6,1.1,0.008,0.011,0.038,,0.011,0,0,0,0,4.7,0.01,261,18,6,0,145,0,0,9,0.01,0,1,0.2,0.087,0.105,0.053,10
03225,"BABYFOOD,DSSRT,CHERRY VANILLA PUDD,JR",81,69,0.2,0.2,0.2,18.4,0.3,16.98,5,0.17,2,7,33,0,0.03,0.051,,0.6,1.1,0.007,0.011,0.038,,0.012,0,0,0,0,4.7,0.01,261,18,6,0,145,0,0,9,0.01,0,1,0.2,0.058,0.07,0.036,10
03226,"BABYFOOD,DSSRT,FRUIT PUDD,ORANGE,STR",79.8,80,1.1,0.9,0.6,17.7,0.6,,32,0.1,5,28,86,20,0.17,0.05,,0.6,9.1,0.04,0.057,0.119,0.251,0.027,8,0,8,8,,0.01,115,6,0,,,,,,,,,,0.545,0.257,0.038,3
03227,"BABYFOOD,DSSRT,PEACH COBBLER,STR",81.8,65,0.3,0,0.24,17.8,0.7,10.62,4,0.1,2,5,54,7,0.3,0.19,,1,20.5,0.009,0.014,0.259,,0.007,2,0,2,2,1.1,0,138,7,0,0,69,28,0,39,0.31,0,0,1.1,0,0,0,0
